full_text,username,sarcasm
halo kaka kaka adaa yang tau ini pict punya siapa yaa soalnya aku liat di post org lain tp dia ngaku anak fk univ lain tp aku salfok lanyard nyaa yang tau pict punya siapa mohon rep yaa nanti aku dm,ui_fess,not_sarcastic
ada kaprodi fakultas tiga huruf yg maksa tetap ngajar dan akhirnya suka cancel kelas mulu pun kalo kelas suka telat 115 jam untung ngajarnya baik kalo gak fix ga ada yang ambil kelasnya,ui_fess,not_sarcastic
terima kasih min telah berkontribusi sudah kebiri suara mahasiswa universitas dengan blunder mu saya berharap kamu dapat hidup dengan tenang,ui_fess,sarcastic
halo warga sedikit reminder setelah mau seminggu tragedi,ui_fess,sarcastic
tadi pas neduh dari kencengnya angin di jis trus nemu ini haha keren kakak kakak sekalian,ui_fess,not_sarcastic
anak mohon bantuannya siapatau ada yang paham dan ngerti dan sebarin seluas mungkin sebagai sanksi sosial,ui_fess,sarcastic
anak kos merapat ke margonda sini wkwkwk ada outlet sushi yg baru buka gils kemaren gue 70 piring cuma kena 52rb,ui_fess,not_sarcastic
anak kos kalo gabut dan pengen dapet makan gratis gas ni ada info freelance trus ada dewa19 juga minusnya dengerin bapak bapak curhat abis dikasi nilai 11100 aje,ui_fess,not_sarcastic
makanan terenak di kanrik apa,ui_fess,not_sarcastic
anak ada yg ke jis gak hari sabtu besok,ui_fess,not_sarcastic
haloo anak adakah mahasiswa masih aktiif bisa ngoding buat jd app developer mau ikut lomba untuk startup udah dapet incubate nih tp mau coba hultprize hehe appnya ttg diagnosis kanker di indo kl tertarik rep yaaa thankyouuuuw,ui_fess,not_sarcastic
mau nanyaaa misal mau daftar beasiswa di web beasiswa dan diminta buku tabungan tapi jenis rekening aku nggak dikasih buku tabungan sama bank nya gimana yaah boleh kah kalo cuma ngelampirin estatement bulanan aku bni btw,ui_fess,not_sarcastic
kebun apel buat non tuh boleh gasi temen gue niatnya mau main ke perpusat cuma daripada dia gabut nungguin gue zoom sekalian ikut ke kebun apel aja deh,ui_fess,not_sarcastic
hai civitas semangat yah udah masuk semester baru semoga temen kelompokmu seru dan sane enough untuk gak ngilang semoga dosen kalian baik pas ngajar dan pas ngasih nilai semoga kalian sehat fisik dan mental berlaku buat semua kecuali yg pilih 02,ui_fess,not_sarcastic
hi guys kindly reminder for warga,ui_fess,not_sarcastic
grup kelas matkul eksternal a thread,ui_fess,not_sarcastic
mau nanya kelas batik jawa eksternal fib udah ada kelasnya belum ya,ui_fess,not_sarcastic
psa temen2 yang belum pindah dpt yuk segeraa pindah dpt diperpanjang lohh sampai 7 februari in case pada belum tahu,ui_fess,sarcastic
balikin menfess yang baru woi ni lu admin tiba2 muncul biar apa dah udah bener lu gausah aktif lagi elah dasar caper,ui_fess,not_sarcastic
libur smt ganjil kapan,ui_fess,not_sarcastic
subscribe at yu ai ef i es es en ji underscore ya,ui_fess,not_sarcastic
