favorite_count,tweets,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,sarcasm,sarcasm_score
103,halo kakak kakak tau pict lihat post orang mengaku anak fk universitas salah fokus lanyard nya tau pict mohon rep dm,10,36,2,https://x.com/ui_fess/status/1761059770675745155,3837612012.0,ui_fess,not_sarcastic,0.9999994039535522
181,kaprodi fakultas huruf maksa mengajar suka cancel kelas mulu kalo kelas suka telat 115 jam untung ngajarnya kalo fix ambil kelasnya,50,23,3,https://x.com/ui_fess/status/1760207135743660194,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
224,terima kasih min berkontribusi kebiri suara mahasiswa universitas blunder mu berharap hidup tenang,3,4,6,https://x.com/ui_fess/status/1757752663587139770,3837612012.0,ui_fess,not_sarcastic,0.9995381832122803
450,halo warga reminder seminggu tragedi,21,16,36,https://x.com/ui_fess/status/1756339805666042287,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
955,pas neduh kencengnya angin jis nemu keren kakak kakak,16,10,50,https://x.com/ui_fess/status/1756288920122507519,3837612012.0,ui_fess,not_sarcastic,0.9999994039535522
26,anak mohon bantuannya siapatau paham mengerti sebarin seluas sanksi sosial,0,1,3,https://x.com/ui_fess/status/1756186901466562666,3837612012.0,ui_fess,not_sarcastic,0.9997453093528748
1190,anak kos merapat margonda outlet sushi buka gila kemarin gue 70 piring kena 52rb,115,105,42,https://x.com/ui_fess/status/1755416964724666753,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
480,anak kos kalo gabut pengin makan gratis gas info freelance dewa19 minusnya mendengarkan curhat habis dikasi nilai 11100,55,38,25,https://x.com/ui_fess/status/1755271961306107967,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
117,makanan terenak kanrik,46,88,12,https://x.com/ui_fess/status/1755096930647253169,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
71,anak jis sabtu besok,6,21,1,https://x.com/ui_fess/status/1755093985532821926,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
9,haloo anak adakah mahasiswa aktiif ngoding app developer lomba startup incubate coba hultprize appnya diagnosis kanker indonesia kalo tertarik rep thankyouuuuw,0,7,1,https://x.com/ui_fess/status/1755088916871520610,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
19,nanyaaa daftar beasiswa web beasiswa buku tabungan jenis rekening dikasih buku tabungan bank nya kah kalo ngelampirin estatement bulanan bni,0,8,1,https://x.com/ui_fess/status/1755084733976056022,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
15,kebun apel non gasi teman gue niatnya main perpusat gabut menunggu gue zoom kebun apel,2,6,0,https://x.com/ui_fess/status/1754452499858379182,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
503,hai civitas semangat masuk semester semoga teman kelompokmu seru sane enough menghilang semoga dosen pas mengajar pas mengasih nilai semoga sehat fisik mental berlaku kecuali pilih 02,22,8,74,https://x.com/ui_fess/status/1754428685669777588,3837612012.0,ui_fess,not_sarcastic,0.9999980926513672
113,hi guys kindly reminder warga,10,0,3,https://x.com/ui_fess/status/1754368272592781684,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
80,grup kelas matkul eksternal thread,3,45,2,https://x.com/ui_fess/status/1754339272197578878,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
3,kelas batik jawa eksternal fib kelasnya,1,0,0,https://x.com/ui_fess/status/1754314359772520740,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
20,psa teman-teman pindah yuk segeraa pindah diperpanjang 7 februari case,3,4,0,https://x.com/ui_fess/status/1754312247743234424,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
77,balikin menfess woi lu admin muncul biar lu enggak usah aktif elah dasar caper,1,0,0,https://x.com/ui_fess/status/1754282242753581405,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
22,libur smt ganjil,4,1,7,https://x.com/ui_fess/status/1754279951665353105,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
21,subscribe yuk ai ef es es en ji underscore,0,0,0,https://x.com/ui_fess/status/1754183007513268707,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
30,kali admin hunt admin plk muncul publik admin skandal diapproach salah paslon admin mungut saldo followers kirim menfess kirim,0,1,0,https://x.com/ui_fess/status/1754181407067541694,3837612012.0,ui_fess,not_sarcastic,0.9999992847442627
76,min lu suspend akun pas debat momennya pas maaf lu min woi,7,4,1,https://x.com/ui_fess/status/1754165900226543716,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
33,sebelah representatif tanggung nya min,0,0,0,https://x.com/ui_fess/status/1754158319617675706,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
194,halo tementemen baiknya menuntut tanggung admin lupa perlakuannya merugikan tolong tanggung publik sidang rotunda terbukti cont,18,6,9,https://x.com/ui_fess/status/1754158318296469652,3837612012.0,ui_fess,not_sarcastic,0.999980092048645
94,pengin admin menfess galak open follback giliran admin kayak akunnya suspend,1,0,6,https://x.com/ui_fess/status/1754157436813082964,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
15,lupa buka website kpu amp kpud provinsikabupatenkota tau pilih dpr ri dpd dprd kalo kabupatenkota gapapa kalo pilih caleg dikenal,0,0,3,https://x.com/ui_fess/status/1754157166800613695,3837612012.0,ui_fess,not_sarcastic,0.9999994039535522
145,gua denial kalo indonesia dokter pemerataannya sedih banget promotif preventif dokter makan siang mulu gumoh intinya anak vote,3,7,10,https://x.com/ui_fess/status/1754155121691459991,3837612012.0,ui_fess,not_sarcastic,0.9999985694885254
369,anak pinterpinter kalo enggak mau balikin rezim orba tau dipilih,3,6,42,https://x.com/ui_fess/status/1754153084912283861,3837612012.0,ui_fess,not_sarcastic,0.9999963045120239
27,woy besok kelas pagi,11,4,4,https://x.com/ui_fess/status/1754152145388273823,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
870,lu mahasiswa anak rik nonfk soshum vote wisely alias lu kudu sadar kalo lu prioritas 02,51,19,100,https://x.com/ui_fess/status/1754151970611626126,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
5,h1 masuk coy,8,2,5,https://x.com/ui_fess/status/1754151489608798376,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
31,guys menfess uifessng semoga disuspend,1,0,1,https://x.com/ui_fess/status/1754148777609556327,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
136,benci banget akun sampah butuh followersnya sebar awareness kalo salah pilih capres tolong banget ajg,4,6,5,https://x.com/ui_fess/status/1754147419137384753,3837612012.0,ui_fess,not_sarcastic,0.9999992847442627
9,50 postss uigotloves 30 issa wrap,7,0,1,https://x.com/ui_fess/status/1743670224338211035,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
9,uigotloves cari bucin,9,0,0,https://x.com/ui_fess/status/1743669917587804448,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
6,uigotloves cari partner,18,5,0,https://x.com/ui_fess/status/1743668155481018726,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
13,sabar cuy banget dipost,3,2,0,https://x.com/ui_fess/status/1743634625480593630,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
1,registration closed thank 201 participants uigotloves 30,7,3,0,https://x.com/ui_fess/status/1743633892144197641,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
11,anyways responder tertarik locked account dm yes lu minat sendernya,8,2,0,https://x.com/ui_fess/status/1743627012395106347,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
1,ku ikutan guys dont mind possibility incoming negative replies youre tahan welcome register ku eventnya menjamin min civitas validation dijamin kerahasiaannya kalo berhasilnt urusan pribadi xixixi,1,0,1,https://x.com/ui_fess/status/1743617053758480894,3837612012.0,ui_fess,not_sarcastic,0.9999994039535522
3,ku alumni boleeee ku post min diusahakan ku batas registrasi tergantung warga kalo rame kalo flop discontinue,0,1,1,https://x.com/ui_fess/status/1743612974290399702,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
43,uigotloves faq ku cari pacar min nope cari partner lomba teman main peer bebas ku khusus anak lantai next time kalo ajakan collab kampus,5,1,2,https://x.com/ui_fess/status/1743612972029682051,3837612012.0,ui_fess,not_sarcastic,0.9999995231628418
549,uigotloves 30 register civitas amp alumni,836,203,55,https://x.com/ui_fess/status/1743609334263890369,3837612012.0,ui_fess,not_sarcastic,0.9999994039535522
